Date,Close,High,Low,Open,Symbol,Vol
2015-01-01,479.0,485.0,470.0,476.0,ADBL,2695.0
2015-01-04,478.0,481.0,474.0,479.0,ADBL,1201.0
2015-01-05,487.0,487.0,471.0,478.0,ADBL,1739.0
2015-01-06,475.0,480.0,466.0,487.0,ADBL,3920.0
2015-01-07,476.0,476.0,467.0,475.0,ADBL,3541.0
2015-01-08,473.0,480.0,472.0,476.0,ADBL,2511.0
2015-01-11,484.0,484.0,465.0,473.0,ADBL,3451.0
2015-01-12,473.0,479.0,468.0,484.0,ADBL,3521.0
2015-01-13,475.0,475.0,466.0,473.0,ADBL,1012.0
2015-01-14,484.0,489.0,467.0,475.0,ADBL,11042.0
2015-01-18,475.0,485.0,473.0,484.0,ADBL,5160.0
2015-01-19,487.0,499.0,480.0,475.0,ADBL,7796.0
2015-01-20,478.0,489.0,474.0,487.0,ADBL,10113.0
2015-01-22,473.0,477.0,470.0,478.0,ADBL,1265.0
2015-01-25,475.0,483.0,466.0,473.0,ADBL,2889.0
2015-01-26,481.0,484.0,470.0,475.0,ADBL,5767.0
2015-01-27,503.0,510.0,478.0,481.0,ADBL,13660.0
2015-01-28,509.0,513.0,498.0,503.0,ADBL,15503.0
2015-01-29,500.0,512.0,495.0,509.0,ADBL,10005.0
2015-02-01,493.0,496.0,491.0,500.0,ADBL,4653.0
2015-02-02,487.0,494.0,485.0,493.0,ADBL,3667.0
2015-02-03,483.0,490.0,472.0,487.0,ADBL,2126.0
2015-02-04,480.0,485.0,475.0,483.0,ADBL,1946.0
2015-02-05,473.0,489.0,471.0,480.0,ADBL,2868.0
2015-02-08,475.0,476.0,471.0,473.0,ADBL,2025.0
2015-02-09,479.0,484.0,470.0,475.0,ADBL,6337.0
2015-02-10,475.0,475.0,463.0,479.0,ADBL,3543.0
2015-02-11,476.0,480.0,470.0,475.0,ADBL,3776.0
2015-02-12,482.0,485.0,475.0,476.0,ADBL,5980.0
2015-02-15,477.0,482.0,476.0,482.0,ADBL,1086.0
2015-02-16,479.0,479.0,472.0,477.0,ADBL,4307.0
2015-02-18,474.0,479.0,472.0,479.0,ADBL,2807.0
2015-02-22,464.0,472.0,464.0,474.0,ADBL,3088.0
2015-02-23,464.0,465.0,456.0,464.0,ADBL,3374.0
2015-02-24,465.0,465.0,460.0,464.0,ADBL,3018.0
2015-02-25,470.0,471.0,459.0,465.0,ADBL,2152.0
2015-02-26,475.0,475.0,460.0,470.0,ADBL,2405.0
2015-03-01,480.0,480.0,470.0,475.0,ADBL,1184.0
2015-03-02,480.0,495.0,475.0,480.0,ADBL,1111.0
2015-03-03,483.0,484.0,471.0,480.0,ADBL,1590.0
2015-03-04,478.0,492.0,476.0,483.0,ADBL,2209.0
2015-03-09,497.0,504.0,485.0,478.0,ADBL,8858.0
2015-03-10,481.0,490.0,472.0,497.0,ADBL,1061.0
2015-03-11,477.0,485.0,477.0,481.0,ADBL,1618.0
2015-03-12,475.0,490.0,470.0,477.0,ADBL,1710.0
2015-03-15,475.0,480.0,471.0,475.0,ADBL,2644.0
2015-03-16,471.0,475.0,467.0,475.0,ADBL,1607.0
2015-03-17,471.0,473.0,467.0,471.0,ADBL,731.0
2015-03-18,472.0,472.0,466.0,471.0,ADBL,1901.0
2015-03-19,480.0,480.0,470.0,472.0,ADBL,1882.0
2015-03-22,467.0,476.0,464.0,480.0,ADBL,6630.0
2015-03-23,469.0,470.0,463.0,467.0,ADBL,4993.0
2015-03-24,467.0,469.0,464.0,469.0,ADBL,1251.0
2015-03-25,470.0,470.0,459.0,467.0,ADBL,797.0
2015-03-26,476.0,476.0,463.0,470.0,ADBL,966.0
2015-03-29,469.0,470.0,469.0,476.0,ADBL,531.0
2015-03-30,459.0,469.0,451.0,469.0,ADBL,3598.0
2015-03-31,461.0,465.0,458.0,459.0,ADBL,1282.0
2015-04-01,464.0,464.0,454.0,461.0,ADBL,2590.0
2015-04-02,464.0,464.0,454.0,461.0,ADBL,2590.0
2015-04-05,455.0,471.0,452.0,465.0,ADBL,1330.0
2015-04-06,450.0,460.0,446.0,455.0,ADBL,3678.0
2015-04-07,450.0,451.0,446.0,450.0,ADBL,2372.0
2015-04-08,458.0,464.0,449.0,450.0,ADBL,2164.0
2015-04-09,471.0,471.0,451.0,458.0,ADBL,7084.0
2015-04-12,479.0,482.0,468.0,471.0,ADBL,4345.0
2015-04-13,472.0,472.0,461.0,479.0,ADBL,4158.0
2015-04-15,474.0,475.0,455.0,472.0,ADBL,13284.0
2015-04-16,468.0,468.0,455.0,474.0,ADBL,8979.0
2015-04-19,436.0,437.0,429.0,437.0,ADBL,820.0
2015-04-20,436.0,439.0,434.0,436.0,ADBL,1363.0
2015-04-21,439.0,439.0,431.0,436.0,ADBL,1312.0
2015-04-22,440.0,440.0,435.0,439.0,ADBL,619.0
2015-04-23,432.0,434.0,430.0,440.0,ADBL,1563.0
2015-05-24,392.0,424.0,392.0,432.0,ADBL,90.0
2015-05-25,365.0,385.0,360.0,392.0,ADBL,844.0
2015-05-26,397.0,397.0,370.0,365.0,ADBL,1215.0
2015-05-27,376.0,390.0,376.0,397.0,ADBL,230.0
2015-05-28,390.0,393.0,380.0,376.0,ADBL,2330.0
2015-05-31,397.0,402.0,392.0,390.0,ADBL,1141.0
2015-06-01,400.0,404.0,390.0,397.0,ADBL,2353.0
2015-06-02,400.0,402.0,400.0,400.0,ADBL,181.0
2015-06-03,432.0,432.0,402.0,400.0,ADBL,1581.0
2015-06-04,420.0,440.0,420.0,432.0,ADBL,2566.0
2015-06-07,430.0,435.0,425.0,420.0,ADBL,5611.0
2015-06-08,430.0,438.0,425.0,430.0,ADBL,1959.0
2015-06-09,448.0,463.0,438.0,430.0,ADBL,3888.0
2015-06-10,438.0,440.0,432.0,448.0,ADBL,880.0
2015-06-11,425.0,432.0,422.0,438.0,ADBL,2209.0
2015-06-14,413.0,420.0,413.0,425.0,ADBL,2431.0
2015-06-15,421.0,427.0,407.0,413.0,ADBL,1505.0
2015-06-16,426.0,426.0,418.0,421.0,ADBL,1298.0
2015-06-17,423.0,426.0,418.0,426.0,ADBL,1700.0
2015-06-18,416.0,422.0,412.0,423.0,ADBL,873.0
2015-06-21,415.0,416.0,413.0,416.0,ADBL,1001.0
2015-06-22,415.0,420.0,410.0,415.0,ADBL,1380.0
2015-06-23,420.0,423.0,415.0,415.0,ADBL,7897.0
2015-06-24,414.0,425.0,414.0,420.0,ADBL,1269.0
2015-06-25,419.0,420.0,417.0,414.0,ADBL,833.0
2015-06-28,420.0,420.0,415.0,419.0,ADBL,2180.0
2015-06-29,420.0,420.0,406.0,420.0,ADBL,8930.0
2015-06-30,415.0,415.0,406.0,420.0,ADBL,6613.0
2015-07-01,410.0,410.0,408.0,415.0,ADBL,572.0
2015-07-02,405.0,408.0,403.0,410.0,ADBL,4059.0
2015-07-05,417.0,419.0,408.0,405.0,ADBL,1564.0
2015-07-06,404.0,417.0,403.0,417.0,ADBL,330.0
2015-07-07,405.0,410.0,404.0,404.0,ADBL,6448.0
2015-07-08,408.0,409.0,406.0,405.0,ADBL,2073.0
2015-07-09,410.0,416.0,410.0,408.0,ADBL,401.0
2015-07-12,411.0,412.0,405.0,410.0,ADBL,5083.0
2015-07-13,409.0,410.0,409.0,411.0,ADBL,1242.0
2015-07-14,410.0,414.0,406.0,409.0,ADBL,3414.0
2015-07-15,415.0,418.0,408.0,410.0,ADBL,2601.0
2015-07-16,432.0,432.0,416.0,415.0,ADBL,391.0
2015-07-22,440.0,442.0,421.0,432.0,ADBL,7356.0
2015-07-23,465.0,465.0,435.0,440.0,ADBL,7731.0
2015-07-26,511.0,511.0,474.0,465.0,ADBL,140.0
2015-07-27,498.0,521.0,476.0,511.0,ADBL,8007.0
2015-07-28,480.0,489.0,480.0,498.0,ADBL,682.0
2015-07-29,467.0,471.0,467.0,480.0,ADBL,120.0
2015-07-30,450.0,465.0,450.0,467.0,ADBL,3973.0
2015-08-02,446.0,449.0,445.0,450.0,ADBL,558.0
2015-08-03,457.0,458.0,440.0,446.0,ADBL,3667.0
2015-08-04,441.0,460.0,439.0,457.0,ADBL,7651.0
2015-08-05,452.0,459.0,437.0,441.0,ADBL,6625.0
2015-08-06,463.0,465.0,455.0,452.0,ADBL,8242.0
2015-08-09,469.0,469.0,450.0,463.0,ADBL,9306.0
2015-08-10,479.0,488.0,470.0,469.0,ADBL,8260.0
