Date,Close,High,Low,Open,Symbol,Vol
2015-01-01,360.0,365.0,360.0,362.0,AHPC,2812.0
2015-01-04,362.0,367.0,358.0,360.0,AHPC,6607.0
2015-01-05,362.0,369.0,360.0,362.0,AHPC,8022.0
2015-01-06,355.0,369.0,351.0,362.0,AHPC,3966.0
2015-01-07,357.0,365.0,352.0,355.0,AHPC,12041.0
2015-01-08,360.0,370.0,355.0,357.0,AHPC,12627.0
2015-01-11,357.0,365.0,355.0,360.0,AHPC,7686.0
2015-01-12,359.0,360.0,351.0,357.0,AHPC,6692.0
2015-01-13,366.0,366.0,353.0,359.0,AHPC,3131.0
2015-01-14,367.0,370.0,365.0,366.0,AHPC,3870.0
2015-01-18,363.0,370.0,363.0,367.0,AHPC,5197.0
2015-01-19,375.0,398.0,369.0,363.0,AHPC,11524.0
2015-01-20,369.0,380.0,366.0,375.0,AHPC,5260.0
2015-01-22,367.0,373.0,363.0,369.0,AHPC,5315.0
2015-01-25,372.0,372.0,355.0,367.0,AHPC,3018.0
2015-01-26,366.0,375.0,361.0,372.0,AHPC,4844.0
2015-01-27,374.0,374.0,350.0,366.0,AHPC,20013.0
2015-01-28,375.0,388.0,370.0,374.0,AHPC,12374.0
2015-01-29,375.0,380.0,369.0,375.0,AHPC,12603.0
2015-02-01,373.0,373.0,368.0,375.0,AHPC,12533.0
2015-02-02,372.0,378.0,370.0,373.0,AHPC,3067.0
2015-02-03,370.0,371.0,365.0,372.0,AHPC,6489.0
2015-02-04,363.0,368.0,360.0,370.0,AHPC,3334.0
2015-02-05,362.0,365.0,360.0,363.0,AHPC,8844.0
2015-02-08,360.0,368.0,359.0,362.0,AHPC,10918.0
2015-02-09,360.0,365.0,354.0,360.0,AHPC,8575.0
2015-02-10,360.0,364.0,357.0,360.0,AHPC,4313.0
2015-02-11,363.0,363.0,346.0,360.0,AHPC,4575.0
2015-02-12,358.0,365.0,358.0,363.0,AHPC,3601.0
2015-02-15,354.0,360.0,351.0,358.0,AHPC,11221.0
