Date,Close,High,Low,Open,Symbol,Vol
2015-01-01,658.0,682.0,658.0,695.0,NICA,42.0
2015-01-04,670.0,675.0,656.0,658.0,NICA,9163.0
2015-01-05,667.0,685.0,666.0,670.0,NICA,7320.0
2015-01-06,661.0,670.0,661.0,667.0,NICA,4534.0
2015-01-07,658.0,668.0,650.0,661.0,NICA,7487.0
2015-01-08,670.0,680.0,660.0,658.0,NICA,4341.0
2015-01-11,661.0,682.0,661.0,670.0,NICA,3460.0
2015-01-12,658.0,665.0,655.0,661.0,NICA,1816.0
2015-01-13,665.0,666.0,650.0,658.0,NICA,4640.0
2015-01-14,666.0,666.0,658.0,665.0,NICA,3124.0
2015-01-18,665.0,679.0,660.0,666.0,NICA,5442.0
2015-01-19,710.0,730.0,677.0,665.0,NICA,9674.0
2015-01-20,685.0,700.0,683.0,710.0,NICA,3397.0
2015-01-22,675.0,682.0,667.0,685.0,NICA,1028.0
2015-01-25,690.0,690.0,670.0,675.0,NICA,2568.0
2015-01-26,686.0,703.0,682.0,690.0,NICA,6468.0
2015-01-27,692.0,693.0,680.0,686.0,NICA,1684.0
2015-01-28,701.0,705.0,692.0,692.0,NICA,3692.0
2015-01-29,700.0,714.0,690.0,701.0,NICA,9166.0
2015-02-01,705.0,705.0,690.0,700.0,NICA,14939.0
2015-02-02,699.0,711.0,687.0,705.0,NICA,2237.0
2015-02-03,686.0,692.0,685.0,699.0,NICA,1810.0
2015-02-04,685.0,690.0,680.0,686.0,NICA,2030.0
2015-02-05,677.0,680.0,675.0,685.0,NICA,2485.0
2015-02-08,685.0,689.0,675.0,677.0,NICA,4717.0
2015-02-09,681.0,684.0,675.0,685.0,NICA,1163.0
2015-02-10,695.0,695.0,676.0,681.0,NICA,1162.0
2015-02-11,688.0,692.0,681.0,695.0,NICA,4268.0
2015-02-12,680.0,692.0,680.0,688.0,NICA,3730.0
2015-02-15,680.0,685.0,679.0,680.0,NICA,6123.0
2015-02-16,675.0,679.0,675.0,680.0,NICA,2400.0
2015-02-18,666.0,675.0,666.0,675.0,NICA,2060.0
2015-02-22,663.0,667.0,660.0,666.0,NICA,1876.0
2015-02-23,662.0,667.0,658.0,663.0,NICA,2591.0
2015-02-24,660.0,663.0,659.0,662.0,NICA,2680.0
2015-02-25,660.0,664.0,651.0,660.0,NICA,3560.0
2015-02-26,666.0,684.0,658.0,660.0,NICA,1038.0
2015-03-01,662.0,666.0,660.0,666.0,NICA,5324.0
2015-03-02,705.0,705.0,663.0,662.0,NICA,2457.0
2015-03-03,668.0,691.0,668.0,705.0,NICA,522.0
