Date,Close,High,Low,Open,Symbol,Vol
2015-11-18,479.0,488.0,479.0,476.0,NMB,21302.0
2015-11-19,473.0,476.0,470.0,479.0,NMB,9782.0
2015-11-22,455.0,466.0,455.0,473.0,NMB,3936.0
2015-11-23,460.0,460.0,441.0,455.0,NMB,4257.0
2015-11-24,444.0,453.0,440.0,460.0,NMB,28692.0
2015-11-25,437.0,440.0,437.0,444.0,NMB,2902.0
2015-11-26,425.0,430.0,415.0,437.0,NMB,3370.0
2015-11-29,415.0,417.0,404.0,425.0,NMB,8963.0
2015-11-30,396.0,422.0,389.0,415.0,NMB,16884.0
2015-12-01,405.0,408.0,400.0,396.0,NMB,5401.0
2015-12-02,405.0,412.0,393.0,405.0,NMB,12111.0
2015-12-03,408.0,420.0,402.0,405.0,NMB,44604.0
2015-12-06,416.0,432.0,415.0,408.0,NMB,8447.0
2015-12-07,417.0,422.0,413.0,416.0,NMB,5957.0
2015-12-08,415.0,415.0,408.0,417.0,NMB,2264.0
2015-12-09,428.0,428.0,417.0,415.0,NMB,16533.0
2015-12-10,420.0,422.0,416.0,428.0,NMB,3303.0
2015-12-13,417.0,424.0,417.0,420.0,NMB,6805.0
2015-12-14,413.0,425.0,413.0,417.0,NMB,1803.0
2015-12-15,410.0,415.0,410.0,413.0,NMB,4184.0
2015-12-16,414.0,414.0,408.0,410.0,NMB,3628.0
2015-12-17,410.0,410.0,409.0,414.0,NMB,1090.0
2015-12-20,410.0,410.0,405.0,410.0,NMB,251.0
2015-12-21,420.0,420.0,411.0,410.0,NMB,3745.0
2015-12-22,420.0,421.0,415.0,420.0,NMB,7202.0
2015-12-23,415.0,419.0,415.0,420.0,NMB,2521.0
2015-12-24,412.0,417.0,410.0,415.0,NMB,1867.0
2015-12-27,416.0,416.0,412.0,412.0,NMB,750.0
2015-12-28,417.0,421.0,414.0,416.0,NMB,14456.0
2015-12-29,419.0,420.0,415.0,417.0,NMB,9050.0
